KEY;default;dk;de
adas.dss.0_0_4.models.SITDMO.execution.input_schema.properties.optionalData.properties.endDate.title;Model End Date (YYYY-MM-DD);Model Slutdato (ÅÅÅÅ-MM-DD);Modell-Enddatum (JJJJ-MM-TT)
adas.dss.0_0_4.models.SITDMO.execution.input_schema.properties.optionalData.properties.rain_threshold2.title;Rainfall Threshold Phase 2;Tærskel for regn fase 2;Schwellenwert Niederschlag Phase 2
adas.dss.0_0_4.models.SITDMO.execution.input_schema.properties.optionalData.properties.startDate.title;Model Start Date/Start of temperature accumulations (YYYY-MM-DD);Model Startdato/start for temperaturakkumulering;Modell Startdatum/Beginn der Temperaturakkumulation (JJJJ-MM-TT)
adas.dss.0_0_4.models.SITDMO.execution.input_schema.properties.optionalData.properties.temp_threshold1.title;Temperature Threshold Phase 1;Temperaturtærskel for fase 1;Schwellenwert Temperatur Phase 1
adas.dss.0_0_4.models.SITDMO.execution.input_schema.properties.optionalData.properties.temp_threshold2.title;Temperature Threshold Phase 2;Temperaturtærskel for fase 2;Schwellenwert Temperatur Phase 2
adas.dss.0_0_4.models.SITDMO.execution.input_schema.properties.optionalData.properties.temp_threshold3.title;Temperature Threshold Phase 3;Temperaturtærskel for fase 3;Schwellenwert Temperatur Phase 3
adas.dss.0_0_4.models.SITDMO.execution.input_schema.properties.optionalData.title;Optional parameters for the DSS;Valgfrie parametre for DSS;Optionale Parameter für den EHS
adas.dss.0_0_4.models.SITDMO.name;Orange Wheat Blossom Midge Model;Orangegul hvedegalmyg;Orangeroten Weizengallmücke Modell
adas.dss.0_0_4.models.SITDMO.output.chart_groups..title;;;
adas.dss.0_0_4.models.SITDMO.output.chart_heading;;;
adas.dss.0_0_4.models.SITDMO.output.result_parameters..description;;;
adas.dss.0_0_4.models.SITDMO.output.result_parameters..title;;;
adas.dss.0_0_4.models.SITDMO.output.warning_status_interpretation.0.explanation;;;
adas.dss.0_0_4.models.SITDMO.output.warning_status_interpretation.0.recommended_action;;;
adas.dss.0_0_4.models.SITDMO.output.warning_status_interpretation.1.explanation;Missing data.;Manglende data;Fehlende Daten.
adas.dss.0_0_4.models.SITDMO.output.warning_status_interpretation.1.recommended_action;Review error message.;Gennemse fejlmeddelelse.;Überprüfen Sie die Fehlermeldung.
adas.dss.0_0_4.models.SITDMO.output.warning_status_interpretation.2.explanation;This model is currently collecting data to run. Based on current data available, the model results indicate no current risk of pest activity.;Denne model indsamler i øjeblikket data, der skal køres. Baseret på de foreliggende data indikerer modelresultaterne ingen aktuel risiko for skadedyrsaktivitet.;Für dieses Modell werden noch weitere Daten gesammelt. Auf der Grundlage der derzeit verfügbaren Daten deuten die Modellergebnisse darauf hin, dass derzeit kein Risiko einer Schädlingsaktivität besteht.
adas.dss.0_0_4.models.SITDMO.output.warning_status_interpretation.2.recommended_action;This model runs May-June, requiring data from the start of January. The risk of emergence of orange wheat blossom midge and migration into crops is currently low. Current conditions are not suitable for orange wheat blossom midge emergence.;Denne model kører maj-juni og kræver data fra starten af januar. Risikoen for fremkomst af orangegul hvedegalmyg og migration til afgrøder er i øjeblikket lav. Nuværende forhold er ikke egnede til fremkomsten af orangegul hvedegalmyg.;Dieses Modell läuft von Mai bis Juni und erfordert Daten ab Anfang Januar. Das Risiko des Auftretens der Orangeroten Weizengallmücke und des Zufluges in die Bestände ist derzeit gering. Die derzeitigen Bedingungen sind für das Auftreten der Orangeroten Weizengallmücke nicht geeignet.
adas.dss.0_0_4.models.SITDMO.output.warning_status_interpretation.3.explanation;This model is currently collecting data to run. Based on current data available, the model results indicate that conditions may soon be suitable for critical pest activity.;Denne model indsamler i øjeblikket data, der skal køres. Baseret på de foreliggende data indikerer modelresultaterne, at forholdene snart kan være egnede til kritisk skadedyrsaktivitet.;Für dieses Modell werden noch weitere Daten gesammelt. Auf der Grundlage der derzeit verfügbaren Daten deuten die Modellergebnisse darauf hin, dass die Bedingungen bald für eine kritische Schädlingsaktivität geeignet sein könnten.
adas.dss.0_0_4.models.SITDMO.output.warning_status_interpretation.3.recommended_action;This model runs May-June, requiring data from the start of January. The risk of emergence of orange wheat blossom midge and migration into crops is increasing. Suitable rainfall events have taken place, and/or daily temperatures are suitable for orange wheat blossom midge emergence. Increasing monitoring efforts in vulnerable crops (at ear emergence or flowering), and apply suitable treatment according to need. ;Denne model kører maj-juni og kræver data fra starten af januar. Risikoen for fremkomst af orangegul hvedegalmyg og migration til afgrøder er stigende. Passende nedbørshændelser har fundet sted, og / eller daglige temperaturer er velegnede til fremkomst af orangegul hvedegalmyg. Øge overvågningsindsatsen i sårbare afgrøder (ved skridning eller blomstring) og anvende passende behandling efter behov.;Dieses Modell läuft von Mai bis Juni und erfordert Daten ab Anfang Januar. Das Risiko des Auftretens der Orangeroten Weizengallmücke und des Zufluges in die Bestände steigt. Geeignete Niederschlagsereignisse haben stattgefunden, und/oder die Tagestemperaturen sind für das Orangeroten Weizengallmücke geeignet. Verstärkte Überwachung in gefährdeten Beständen (zum Zeitpunkt des Ährenschiebens oder der Blüte) und Anwendung einer geeigneten Behandlung je nach Bedarf. 
adas.dss.0_0_4.models.SITDMO.output.warning_status_interpretation.4.explanation;This model is currently collecting data to run. Based on current data available, the model results indicate conditions are currently suitable for pest activity;Denne model indsamler i øjeblikket data, der skal køres. Baseret på de foreliggende data viser modelresultaterne, at forholdene i øjeblikket er egnede til skadedyrsaktivitet;Für dieses Modell werden noch weitere Daten gesammelt. Auf der Grundlage der derzeit verfügbaren Daten deuten die Modellergebnisse darauf hin, dass die Bedingungen derzeit für Schädlingsaktivitäten geeignet sind
adas.dss.0_0_4.models.SITDMO.output.warning_status_interpretation.4.recommended_action;This model runs May-June, requiring data from the start of January. The risk of emergence of orange wheat blossom midge and migration into crops is high. Recent conditions are likely to promote orange wheat blossom midge emergence. Monitor vulnerable crops (at ear emergence or flowering) for in-field activity and apply suitable treatments according to need;Denne model kører maj-juni og kræver data fra starten af januar. Risikoen for fremkomst af orangegul hvedegalmyg og migration til afgrøder er høj. Nylige forhold vil sandsynligvis fremme fremkomsten af orangegul hvedegalmyg. Overvåg sårbare afgrøder (ved skridning eller blomstring) for aktivitet i marken og anvend passende behandlinger efter behov;Dieses Modell läuft von Mai bis Juni und erfordert Daten ab Anfang Januar. Das Risiko des Auftretens der Orangeroten Weizengallmücke und des Zufluges in die Bestände ist hoch. Die jüngsten Bedingungen begünstigen wahrscheinlich das Auftreten der  Orangeroten Weizengallmücke. Überwachen Sie gefährdete Kulturen (bei Ährenaufgang oder Blüte) auf Aktivität im Feld und wenden Sie je nach Bedarf geeignete Behandlungen an.
adas.dss.0_0_4.models.SITDMO.purpose;Estimates the risk of emergence of adult Orange Wheat Blossom Midge;Estimerer risikoen for fremkomst af voksne orangegul hvedegalmyg;Schätzt das Risiko des Auftretens von adulten Orangeroten Weizengallmücken
adas.dss.0_0_4.name;IPM Decisions;IPM Decisions;IPM Decisions
