KEY;default;dk;de;nl;sl;no;se;fi;lt;fr;it;gr;pl;es;pt
adas.dss.0_0_4.models.CARPPO.output.result_parameters.Second_Flight_Cumulative_Captures.description;The cumulative captures of the Codling Moth during their second flight.;De kumulative fangster af æblevikler under deres anden flyvning.;Die kumulativen Fänge des Apfelwicklers während seines zweiten Fluges.;De cumulatieve vangsten van de fruitmot tijdens de tweede vlucht.;Kumulativni ulovi jabolčnega zavijača med drugim letom.;Kumulativ fangst av eplevikler fra andre flyvning;De sammanlagda fångsterna av äpplevecklare under deras andra flygning.;;Obuolinio vaisėdžio antrojo  skrydžio metu sugauta viso.;Les captures cumulées du carpocapse lors de leur deuxième vol.;Le catture cumulative della carpocapsa del melo durante il secondo volo.;Οι αθροιστικές συλλήψεις της καρπόκαψας της μηλιάς κατά τη διάρκεια της δεύτερης πτήσης τους.;;;
adas.dss.0_0_4.models.CARPPO.output.result_parameters.Second_Flight_Cumulative_Captures.title;Second Flight Cumulative Captures;Kumulative fangster af anden flyvning;Zweitflug -  Kumulative Fänge;Tweede vlucht cumulatieve vangsten;Kumulativni ulovi v drugem letu;Kumulativ fangst fra andre flyvning;Andra flygningens sammanlagda fångster;;Viso sugauta per antrąjį  skraidymą.;Captures cumulées du deuxième vol;Catture cumulative del secondo volo;Αθροιστικές συλλήψεις δεύτερης πτήσης;;;
adas.dss.0_0_4.models.CARPPO.output.result_parameters.Third_Flight_Cumulative_Captures.description;The cumulative captures of the Codling Moth during their third flight.;De kumulative fangster af æblevikler under deres tredje flyvning.;Die kumulativen Fänge des Apfelwicklers während seines dritten Fluges.;De cumulatieve vangsten van de fruitmot tijdens de derde vlucht.;Kumulativni ulovi jabolčnega zavijača med tretjim letom.;Kumulativ fangst av eplevikler fra tredje flyvning;De sammanlagda fångsterna av äpplevecklare under deras tredje flygning.;; Obuolinio vaisėdžio trečiojo  skrydžio metu sugauta viso. ;Les captures cumulées du carpocapse au cours de leur troisième vol.;Le catture cumulative della carpocapsa del melo durante il terzo volo.;Οι αθροιστικές συλλήψεις της καρπόκαψας της μηλιάς κατά τη διάρκεια της τρίτης πτήσης τους.;;;
adas.dss.0_0_4.models.CARPPO.output.result_parameters.Third_Flight_Cumulative_Captures.title;Third Flight Cumulative Captures;Kumulative fangster af tredje flyvning;Drittflug -  Kumulative Fänge;Derde Vlucht Cumulatieve Vangsten;Kumulativni ulovi v tretjem letu;Kumulativ fangst fra tredje flyvning;Tredje flygningens sammanlagda fångster;;Viso sugauta per trečiąjį  skraidymą.;Captures cumulées du troisième vol;Catture cumulative del terzo volo;Αθροιστικές συλλήψεις τρίτης πτήσης;;;
adas.dss.0_0_4.models.CARPPO.output.warning_status_interpretation.0.explanation;;;;;;;;; ;;0;;;;
adas.dss.0_0_4.models.CARPPO.output.warning_status_interpretation.0.recommended_action;;;;;;;;; ;;0;;;;
adas.dss.0_0_4.models.CARPPO.output.warning_status_interpretation.1.explanation;Missing data.;Manglende data;Fehlende Daten.;Ontbrekende gegevens.;Manjkajoči podatki.;Manglende data;Data saknas;;Trūksta duomenų.;Données manquantes.;Dati mancanti.;Λείπουν δεδομένα.;;;
adas.dss.0_0_4.models.CARPPO.output.warning_status_interpretation.1.recommended_action;Review error message.;Gennemse fejlmeddelelse.;Überprüfen Sie die Fehlermeldung.;Bekijk de foutmelding;Preglejte sporočilo o napaki.;Se feilmelding;Granska felmeddelandet.;;Peržiūrėkite klaidos pranešimą.;Vérifier le message d'erreur.;Rivedere il messaggio di errore.;Αναθεώρηση μηνύματος σφάλματος.;;;
adas.dss.0_0_4.models.CARPPO.output.warning_status_interpretation.2.explanation;This model is currently collecting data to run. Based on current data available, the model results indicate low current risk of new codling moth migration.;Denne model indsamler i øjeblikket data for at kunne køre. Baseret på de foreliggende data indikerer modelresultaterne lav aktuel risiko for ny flyvning.;Für dieses Modell werden noch weitere Daten gesammelt. Auf der Grundlage der derzeit verfügbaren Daten deuten die Modellergebnisse darauf hin, dass das Risiko eines erneuten Zufluges des Apfelwicklers aktuell gering ist.;Dit model verzamelt momenteel gegevens om uit te voeren. Op basis van de huidige beschikbare gegevens wijzen de modelresultaten op een laag risico op nieuwe migratie van fruitmotten.;Model še pridobiva podatke za delovanje. Na podlagi trenutnih razpoložljivih podatkov rezultati modela kažejo, da je trenutno tveganje za let samcev jabolčnega zavijača nizko.;Modellen samler inn data for øyeblikket. Basert på tilgjengelig data beregnes det en lav risiko for eplevikler-flyvning.;Modellen samlar nu in data för att köras. Baserat på tillgängliga aktuella data indikerar modellresultaten för närvarande låg risk för flygning av ärtvecklarhanar.;;Modelis šiuo metu renka duomenis, kad galėtų veikti. Remiantis dabartiniais turimais duomenimis, modelio rezultatai rodo mažą obuolinio vaisėdžio migracijos riziką.;Ce modèle recueille actuellement des données. Sur la base des données actuellement disponibles, les résultats du modèle indiquent un faible risque actuel de nouvelle migration du carpocapse.;Il modello sta attualmente raccogliendo dati per essere eseguito. Sulla base dei dati attualmente disponibili, i risultati del modello indicano un basso rischio attuale di volo della carpocapsa del melo;Αυτό το μοντέλο συλλέγει επί του παρόντος δεδομένα για να τρέξει. Με βάση τα τρέχοντα διαθέσιμα δεδομένα, τα αποτελέσματα του μοντέλου υποδεικνύουν χαμηλό τρέχοντα κίνδυνο νέας μετανάστευσης της καρπόκαψας της μηλιάς.;;;
adas.dss.0_0_4.models.CARPPO.output.warning_status_interpretation.2.recommended_action;This model runs March-August. The risk of start of new (first, second or third) codling moth migration and associated oviposition, is currently low. The 'Cumulative Captures' chart indicates the predicted accumulative proportion (%) of adult males likely to be caught by these dates, associated with the first (green), second (red) or third (blue) flights.;"Denne model kører marts-august. Risikoen for start af ny (første, anden eller tredje) flyvning af æblevikler og tilhørende æglægning, er i øjeblikket lav. Diagrammet ""Kumulative fangster"" angiver den forventede akkumulerende andel (%) af voksne hanner, der sandsynligvis vil blive fanget på disse datoer, i forbindelse med den første (grøn), anden (rød) eller tredje (blå) flyvning. datoer, i forbindelse med den første (grøn), anden (rød) eller tredje (blå) flyvning.";"Dieses Modell läuft von März bis August. Das Risiko des Beginns eines neuen (ersten, zweiten oder dritten) Apfelwicklerzufluges und der damit verbundenen Eiablage ist derzeit gering. Das Diagramm ""Kumulative Fänge"" zeigt den vorhergesagten kumulativen Anteil (%) erwachsener Männchen, die zu diesen Terminen wahrscheinlich gefangen werden, in Verbindung mit dem ersten (grün), zweiten (rot) oder dritten (blau) Flug.";"Dit model loopt van maart tot augustus. Het risico op het begin van een nieuwe (eerste, tweede of derde) vlucht van de fruitmot en de daarmee gepaard gaande eileg is momenteel laag. De grafiek ""Cumulatieve vangsten"" geeft het voorspelde cumulatieve aandeel (%) volwassen mannetjes aan dat waarschijnlijk op deze data zal worden gevangen met de eerste (groen), tweede (rood) of derde (blauw) vlucht.";"Ta model deluje od marca do avgusta. Tveganje začetka novega (prvega, drugega ali tretjega) leta jabolčnega zavijača in s tem povezanega izleganja jajčec je trenutno nizko. Graf ""Kumulativni ulovi"" prikazuje predvideni kumulativni delež (%) odraslih samcev, ki bodo verjetno ulovljeni do teh datumov, povezanih s prvim (zeleno), drugim (rdeče) ali tretjim (modro) poletom.";Denne modellen kjører fra mars til august. Risikoen for ny (første, andre eller tredje) flyvning av eplevikler og tilhørende egglegging er for tiden lav. Diagrammet Kumulativ fangst' indikerer den anslåtte akkumulerte andelen (%) av voksne hanner som sannsynligvis vil bli fanget innen disse datoene, assosiert med den første (grønne), andre (rød) eller tredje (blå) flygningen.;"Denna modell körs i mars-augusti. Risken för start av ny (första, andra eller tredje) migration av äpplevecklare och tillhörande äggläggning är för närvarande låg. Diagrammet ""Sammanlagda fångster"" visar den förväntade ackumulerade andelen (%) av vuxna hanliga vecklare som sannolikt kommer att fångas vid dessa datum, under den första (gröna), andra (röd) eller tredje (blå) flygningen.";;"Šis modelis veikia kovo-rugpjūčio mėnesiais. Nauja obuolinių vaisėdžių migracija (pirmosios, antrosios ar trečiosios) ir su tuo susijusi kiaušinėlių dėjimo rizika šiuo metu maža. ""Viso sugauta"" diagramoje nurodoma suaugusių patinėlių, kurie gali būti sugauti iki šių datų, dalis (%), susijusi su pirmuoju (žalia), antruoju (raudona) arba trečiuoju (mėlyna) skraidymais.";"Ce modèle fonctionne de mars à août. Le risque de début de la nouvelle (première, deuxième ou troisième) migration du carpocapse et de la ponte associée est actuellement faible. Le graphique ""Captures cumulées"" indique la proportion cumulée prévue (%) de mâles adultes susceptibles d'être capturés à ces dates, associés au premier (vert), deuxième (rouge) ou troisième (bleu) vol.";"Questo modello funziona da marzo ad agosto. Il rischio di inizio di una nuova (prima, seconda o terza) migrazione della carpocasa della relativa ovodeposizione è attualmente basso. Il grafico ""Catture cumulative"" indica la percentuale cumulativa prevista (%) di maschi adulti che potrebbero essere catturati entro queste date, associate al primo (verde), secondo (rosso) o terzo (blu) volo.";"Αυτό το μοντέλο λειτουργεί από τον Μάρτιο έως τον Αύγουστο. Ο κίνδυνος έναρξης της νέας (πρώτης, δεύτερης ή τρίτης) μετανάστευσης της καρπόκαψας και της σχετικής ωοτοκίας είναι επί του παρόντος χαμηλός. Το διάγραμμα ""Αθροιστικές συλλήψεις"" υποδεικνύει το προβλεπόμενο αθροιστικό ποσοστό (%) των ενήλικων αρσενικών που είναι πιθανό να συλληφθούν μέχρι τις ημερομηνίες αυτές, σε σχέση με την πρώτη (πράσινο), τη δεύτερη (κόκκινο) ή την τρίτη (μπλε) πτήση.";;;
adas.dss.0_0_4.models.CARPPO.output.warning_status_interpretation.3.explanation;This model is currently collecting data to run. Based on current data available, the model results indicate conditions are currently suitable for pest activity.;Denne model indsamler i øjeblikket data for at kunne køre. Baseret på de foreliggende data viser modelresultaterne, at forholdene i øjeblikket er egnede til skadedyrsaktivitet.;Für dieses Modell werden noch weitere Daten gesammelt. Auf der Grundlage der derzeit verfügbaren Daten deuten die Modellergebnisse darauf hin, dass die Bedingungen für Schädlingsaktivitäten aktuell geeignet sind.;Dit model verzamelt momenteel gegevens om te verwerken. Op basis van de huidige beschikbare gegevens geven de modelresultaten aan dat de omstandigheden momenteel ideaal zijn voor plaagactiviteit.;Ta model trenutno zbira podatke za delovanje. Na podlagi trenutno razpoložljivih podatkov rezultati modela kažejo, da so pogoji trenutno primerni za razvoj škodljivcev.;Modellen samler inn data for øyeblikket. Basert på tilgjengelig data er det gode forhold for skadegjøreren.;Modellen samlar nu in data för att köras. Baserat på aktuella tillgängliga data indikerar modellresultaten att förhållandena nu är gynnsamma för aktivitet hos skadegöraren.;;Modelis šiuo metu renka duomenis, kad galėtų veikti. Remiantis dabartiniais turimais duomenimis, modelio rezultatai rodo palankias sąlygas kenkėjo aktyvumui.;Ce modèle recueille actuellement des données. Sur la base des données actuellement disponibles, les résultats du modèle indiquent que les conditions sont actuellement propices à l'activité des ravageurs.;Il modello sta attualmente raccogliendo i dati per essere eseguito. Sulla base dei dati attualmente disponibili, i risultati del modello indicano che le condizioni sono attualmente adatte all'attività dei parassiti.;Αυτό το μοντέλο συλλέγει επί του παρόντος δεδομένα για να τρέξει. Με βάση τα τρέχοντα διαθέσιμα δεδομένα, τα αποτελέσματα του μοντέλου δείχνουν ότι οι συνθήκες είναι σήμερα κατάλληλες για τη δραστηριότητα των εντόμων.;;;
adas.dss.0_0_4.models.CARPPO.output.warning_status_interpretation.3.recommended_action;This model runs March - August. The model predicts that adult codling moth flight activity is currently underway, which indicates that oviposition will on vulnerable fruit is likely where this pest is present. Monitor vulnerable crops for in-field activity and apply suitable treatments according to need. The 'Cumulative Captures' chart indicates the predicted accumulative  proportion (%) of adult males likely to be caught by these dates, associated with the first (green), second (red) or third (blue) flights.;"Denne model kører marts - august. Modellen forudsiger, at der i øjeblikket er aktivitet for flyvning med voksne møl, hvilket indikerer, at æglægning på sårbar frugt er sandsynlig, hvor skadedyret er til stede. Overvåg sårbare afgrøder for aktivitet i marken, og anvend passende behandlinger efter behov. Diagrammet ""Kumulative fangster"" angiver den forventede akkumulerende andel (%) af voksne mænd, der sandsynligvis vil blive fanget på disse datoer, i forbindelse med den første (grøn), anden (rød) eller tredje (blå) flyvning.";"Dieses Modell läuft von März bis August. Das Modell sagt voraus, dass die Flugaktivität der erwachsenen Apfelwickler derzeit im Gange ist, was darauf hindeutet, dass die Eiablage in gefährdeten Früchten wahrscheinlich ist, wenn dieser Schädling vorhanden ist. Überwachen Sie gefährdete Bestände auf Aktivität im Bestand und wenden Sie je nach Bedarf geeignete Behandlungen an. Das Diagramm ""Kumulative Fänge"" zeigt den vorhergesagten kumulativen Anteil (%) der erwachsenen Männchen, die zu diesen Terminen wahrscheinlich gefangen werden, in Verbindung mit dem ersten (grün), zweiten (rot) oder dritten (blau) Flug.";"Dit model loopt van maart tot augustus. Het model voorspelt dat de vluchtactiviteit van volwassen fruitmotten momenteel aan de gang is, wat erop wijst dat eileg op kwetsbaar fruit waarschijnlijk is, op plaatsen waar deze plaag aanwezig is. Controleer kwetsbare gewassen op activiteit in het veld en pas naar behoefte passende behandelingen toe. De grafiek ""Cumulatieve vangsten"" geeft het voorspelde cumulatieve aandeel (%) volwassen mannetjes aan dat waarschijnlijk op deze data zal worden gevangen met de eerste (groen), tweede (rood) of derde (blauw) vlucht.";"Ta model deluje od marca do avgusta. Model predvideva, da so odrasli osebki jabolčnega zavijača trenutno v fazi letenja, kar pomeni, da je na mestih, kjer je ta škodljivec prisoten, verjetno, da bo prišlo do odlaganja jajčec na dovzetne sadne vrste. Spremljajte prisotnost jabolčnega molja na pridelovalni površini in po potrebi uporabite ustrezna registrirana fitofarmacevtska sredstva. Graf ""Kumulativni ulovi"" prikazuje predvideni kumulativni delež (%) odraslih samcev, ki bodo verjetno ulovljeni do teh datumov, povezanih s prvim (zeleno), drugim (rdeče) ali tretjim (modro) poletom.";Denne modellen kjører fra mars til august. Modellen forutsier at det nærmer seg en periode hvor epleviklere er aktive. Dette indikerer at skadegjørerne trolig er tilstede på mottakelig frukt for å legge egg. Overvåk mottakelige avlinger for å oppdage eplevikler-aktivitet i felt, og behandle ved behov. Diagrammet Kumulativ fangst' indikerer den anslåtte akkumulerte andelen (%) av voksne hanner som sannsynligvis vil bli fanget innen disse datoene, assosiert med den første (grønne), andre (rød) eller tredje (blå) flygningen.;"Denna modell körs i mars - augusti. Modellen förutspår att flygaktivitet hos vuxna äpplevecklare pågår, vilket indikerar att äggläggning på mottaglig frukt sannolikt förekommer där skadegöraren finns. Övervaka känsliga odlingar och utför lämpliga behandlingar efter behov. Diagrammet ""Sammanlagda fångster"" visar den förväntade ackumulerade andelen (%) av vuxna hanliga vecklare som sannolikt kommer att fångas vid dessa datum under den första (gröna), andra (röd) eller tredje (blå) flygningen.";;"Modelis veikia kovo–rugpjūčio mėnesiais. Modelis numato, kad artėja suaugusio obuolinio vaisėdžio skraidymas, kas reiškia, kad kenkėjas gali būti ant pažeidžiamų vaisių ir dėti kiaušinėlius. Pagal poreikį stebėkite kenkėjo aktyvumą sode ir pasirinkite tinkamą augalų apsaugos produktą. ""Sugauta viso"" diagramoje nurodoma numatoma suaugusių patinėlių, kurie gali būti sugauti iki šių datų, dalis (%), susijusi su pirmuoju (žalia), antruoju (raudona) arba trečiuoju (mėlyna) skraidymais.";"Ce modèle fonctionne de mars à août. Le modèle prévoit que l'activité de vol des carpocapses adultes est en cours, ce qui indique que la ponte sur les fruits vulnérables est probable là où ce ravageur est présent. Surveillez l'activité des cultures vulnérables dans les champs et appliquez les traitements appropriés en fonction des besoins. Le graphique ""Captures cumulées"" indique la proportion cumulée prévue (%) de mâles adultes susceptibles d'être capturés à ces dates, associés au premier (vert), deuxième (rouge) ou troisième (bleu) vol.";"Questo modello funziona da marzo ad agosto. Il modello prevede che l'attività di volo degli adulti di carpocasa del melo è attualmente in corso, il che indica che l'ovodeposizione sui frutti vulnerabili è probabile laddove questo parassita è presente. Monitorare le colture vulnerabili per verificare l'attività in campo e applicare i trattamenti adeguati in base alle necessità. Il grafico ""Catture cumulative"" indica la percentuale cumulativa prevista (%) di maschi adulti che potrebbero essere catturati entro queste date, associate al primo (verde), secondo (rosso) o terzo (blu) volo.";"Αυτό το μοντέλο λειτουργεί από τον Μάρτιο έως τον Αύγουστο. Το μοντέλο προβλέπει ότι η πτητική δραστηριότητα των ενήλικων ατόμων καρπόκαψας βρίσκεται σε εξέλιξη, γεγονός που υποδηλώνει ότι η ωοτοκία σε ευάλωτους καρπούς είναι πιθανή εκεί όπου υπάρχει αυτό το έντομο. Παρακολουθήστε τις ευάλωτες καλλιέργειες για δραστηριότητα στον αγρό και εφαρμόστε τις κατάλληλες επεμβάσεις ανάλογα με τις ανάγκες. Το διάγραμμα ""Αθροιστικές συλλήψεις"" υποδεικνύει το προβλεπόμενο αθροιστικό ποσοστό (%) των ενήλικων αρσενικών που είναι πιθανό να συλληφθούν μέχρι τις ημερομηνίες αυτές, σε συνδυασμό με την πρώτη (πράσινο), τη δεύτερη (κόκκινο) ή την τρίτη (μπλε) πτήση.";;;
